QSCORE	lengthPS	lengthRef_interval	SAM_reads	no_target_reads	tested_reads	errorAlign_reads
7	150bp	full	12072	11752	180	140
7	150bp	1000bp	12072	6718	5214	140
7	150bp	600bp	12072	6567	5365	140
7	200bp	full	12072	11752	180	140
7	200bp	1000bp	12072	6718	5214	140
7	200bp	600bp	12072	6567	5365	140
10	150bp	full	8887	8710	76	101
10	150bp	1000bp	8887	5004	3782	101
10	150bp	600bp	8887	4890	3896	101
10	200bp	full	8887	8710	76	101
10	200bp	1000bp	8887	5004	3782	101
10	200bp	600bp	8887	4890	3896	101
13	150bp	full	593	563	5	25
13	150bp	1000bp	593	362	206	25
13	150bp	600bp	593	356	212	25
13	200bp	full	593	563	5	25
13	200bp	1000bp	593	362	206	25
13	200bp	600bp	593	356	212	25
